run_id,ld,s,seed,model,pred,tp
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1799,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2431,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4519,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2004,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4125,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2072,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2478,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4273,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1769,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1683,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2563,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4382,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2534,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2213,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2138,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2639,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4238,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2389,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.203,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2479,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4647,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2064,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2625,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4163,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1866,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.191,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.246,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4539,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2047,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2186,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2715,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4574,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1891,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2482,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4415,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1849,0.19
